[ 15, 2, 4, 18, 19, 20, 7, 9, 11, 12, 21, 6, 24, 14, 16, 17, 3, 5, 22, 8, 1, 10, 13, 23 ]
[ 15, 16, 3, 4, 5, 20, 7, 10, 11, 12, 21, 6, 23, 14, 17, 2, 18, 19, 22, 8, 1, 9, 13, 24 ]
[ 14, 15, 16, 1, 18, 3, 20, 7, 11, 12, 5, 2, 24, 17, 4, 19, 6, 21, 22, 8, 9, 10, 13, 23 ]
[ 14, 1, 16, 4, 18, 6, 20, 8, 9, 10, 11, 13, 21, 15, 17, 2, 3, 19, 5, 22, 12, 7, 23, 24 ]
[ 2, 3, 4, 18, 5, 6, 9, 11, 13, 21, 7, 23, 24, 14, 15, 16, 17, 19, 20, 22, 1, 8, 10, 12 ]
[ 14, 15, 16, 17, 18, 2, 4, 7, 10, 11, 21, 6, 23, 3, 1, 19, 5, 20, 22, 8, 9, 12, 13, 24 ]
[ 16, 17, 18, 19, 20, 5, 9, 12, 13, 21, 22, 23, 24, 14, 15, 4, 6, 3, 7, 8, 1, 2, 10, 11 ]
[ 14, 16, 4, 5, 20, 8, 10, 11, 13, 7, 22, 23, 24, 15, 1, 17, 3, 18, 19, 21, 2, 6, 9, 12 ]
[ 14, 15, 16, 1, 2, 19, 20, 4, 5, 11, 21, 22, 23, 17, 3, 18, 6, 7, 8, 9, 10, 12, 13, 24 ]
[ 14, 1, 16, 17, 2, 3, 9, 10, 11, 13, 21, 22, 23, 15, 18, 4, 19, 20, 5, 6, 7, 8, 12, 24 ]
[ 14, 2, 17, 18, 19, 4, 10, 11, 12, 13, 21, 7, 23, 15, 1, 16, 5, 20, 22, 6, 3, 8, 9, 24 ]
[ 14, 15, 16, 17, 1, 19, 6, 8, 10, 11, 13, 7, 22, 2, 3, 18, 5, 20, 4, 21, 9, 12, 23, 24 ]
[ 14, 2, 16, 4, 18, 5, 6, 9, 10, 11, 13, 21, 7, 15, 1, 17, 3, 19, 20, 22, 8, 12, 23, 24 ]
[ 14, 1, 16, 17, 2, 3, 5, 8, 9, 13, 6, 7, 23, 15, 18, 4, 19, 20, 21, 22, 10, 11, 12, 24 ]
[ 14, 15, 1, 17, 3, 19, 20, 5, 9, 10, 11, 21, 6, 16, 18, 2, 4, 7, 22, 8, 12, 13, 23, 24 ]
[ 15, 16, 2, 18, 19, 20, 4, 9, 11, 12, 5, 22, 7, 14, 17, 3, 6, 21, 8, 23, 1, 10, 13, 24 ]
[ 15, 3, 17, 18, 5, 6, 9, 11, 13, 21, 7, 23, 24, 14, 16, 2, 19, 4, 20, 22, 1, 8, 10, 12 ]
[ 14, 15, 17, 18, 4, 20, 8, 10, 12, 13, 21, 22, 5, 16, 1, 2, 19, 6, 7, 23, 3, 9, 11, 24 ]
[ 15, 16, 17, 18, 3, 20, 5, 9, 11, 12, 13, 21, 22, 14, 4, 2, 19, 6, 7, 8, 1, 10, 23, 24 ]
[ 14, 1, 3, 17, 4, 19, 8, 10, 11, 12, 22, 23, 24, 15, 16, 2, 18, 20, 5, 6, 7, 9, 13, 21 ]
